id,poule_id,name,created_at,deleted_at,
1,1,PSV,2017-06-07 13:45:07,NULL
2,1,Ajax,2017-06-07 13:45:19,NULL
3,1,NAC Breda,2017-06-07 13:45:41,2017-06-16 08:51:27
4,1,AZ,2017-06-07 13:47:15,NULL
5,2,FC Twente,2017-06-07 13:47:15,NULL
6,2,FC Utrecht,2017-06-07 13:47:15,NULL
7,2,Feyenoord,2017-06-07 13:47:15,NULL
8,2,NEC,2017-06-07 13:47:15,NULL
9,3,Roda JC,2017-06-07 13:48:16,NULL
10,3,SC Heerenveen,2017-06-07 13:48:16,NULL
11,3,Sparta,2017-06-07 13:48:16,NULL
12,3,Vitesse,2017-06-07 13:48:16,NULL
13,4,Willem II,2017-06-07 13:49:09,NULL
14,4,PEC Zwolle,2017-06-07 13:49:09,NULL
15,4,Heracles Almelo,2017-06-07 13:49:09,NULL
16,4,FC Groningen,2017-06-07 13:49:09,NULL
